District,Rice_Area,Rice_Production,Wheat_Area,Wheat_Production,Maize_Area,Maize_Production
Durg,548.0,185.0,44.0,20.0,3.0,2.0
Durg,547.0,409.0,50.0,26.0,3.0,3.0
Durg,556.3,468.0,53.7,30.0,2.8,2.0
Durg,563.4,400.8,49.4,26.5,2.7,2.3
Durg,571.6,473.6,44.2,29.0,2.5,3.3
Durg,581.8,412.9,44.4,25.8,2.7,3.1
Durg,582.2,381.0,39.6,20.6,2.8,3.2
Durg,600.0,471.9,37.3,18.6,2.9,2.7
Durg,587.4,219.0,36.5,22.4,2.9,2.9
Durg,598.3,454.0,49.2,27.8,2.9,2.9
Durg,593.6,327.1,46.9,10.0,3.0,2.0
Durg,600.7,572.4,53.1,27.1,3.4,2.8
Durg,612.5,362.2,48.7,25.6,3.4,2.9
Durg,616.8,330.6,44.6,17.8,3.0,3.6
Durg,634.9,515.6,44.1,33.6,3.0,2.8
Durg,630.0,506.9,41.5,23.6,3.0,3.0
Durg,627.9,513.3,41.1,23.9,3.0,3.1
Durg,626.7,711.0,39.9,20.6,3.0,3.7
Durg,632.2,563.8,40.5,19.9,3.6,4.1
Durg,630.8,699.8,39.4,21.0,3.8,3.0
Durg,643.0,525.0,37.0,24.0,4.0,3.0
Durg,648.0,523.0,43.0,23.0,4.0,3.0
Durg,652.7,549.7,43.7,20.2,3.8,4.0
Durg,660.2,457.3,43.8,22.7,3.7,4.8
Durg,682.9,806.8,36.2,24.8,4.0,3.8
Durg,680.8,773.6,34.8,21.6,3.8,3.5
Durg,688.0,777.3,56.1,20.5,4.4,6.0
Durg,703.6,876.7,33.8,23.8,3.8,4.2
Durg,726.8,967.9,36.5,29.4,4.8,4.3
Durg,723.3,1052.0,37.1,26.5,4.2,5.6
Durg,710.9,917.2,36.2,29.1,3.2,4.1
Durg,735.7,837.5,35.6,18.3,3.5,3.2
Durg,786.51,684.62,39.96,24.84,5.61,5.68
Durg,769.79,963.04,0.0,0.0,3.81,4.98
Durg,748.76,467.89,29.9,17.59,3.94,3.12
Durg,756.26,978.69,34.33,24.11,3.9,2.62
Durg,753.41,484.9,33.25,25.09,3.71,4.76
Durg,766.58,1145.82,37.99,29.58,3.4,3.35
Durg,775.99,984.31,36.43,23.19,3.26,3.87
Durg,775.99,984.31,36.43,23.19,3.26,3.87
Durg,781.7,1177.1,36.81,26.62,5.28,5.03
Durg,799.89,1095.84,37.32,34.38,3.3,3.82
Durg,803.37,704.09,36.46,31.19,3.4,3.35
Durg,789.04,622.05,42.44,38.12,3.25,3.4
Durg,777.92,1319.18,46.12,45.87,3.17,4.63
Durg,806.55,1416.48,44.98,50.19,3.63,4.67
Durg,807.07,1534.22,43.87,47.69,3.12,4.8
Durg,819.44,1296.24,41.54,43.33,3.64,6.34
Durg,834.87,1444.24,44.25,50.96,4.02,5.84
Durg,817.68,880.6,48.72,54.6,9.87,14.47
Durg,858.91,1791.66,48.94,61.84,7.95,16.12
Durg,841.13,983.21,43.5,50.19,9.25,18.09
Bastar,406.0,261.0,2.0,1.0,23.0,31.0
Bastar,414.0,319.0,2.0,1.0,24.0,34.0
Bastar,423.2,294.0,2.3,1.0,24.7,24.0
Bastar,429.1,329.0,2.3,1.5,25.1,25.0
Bastar,437.7,316.8,2.4,1.9,25.4,36.1
Bastar,445.6,366.6,2.5,1.5,26.8,35.1
Bastar,443.1,285.8,2.7,1.7,26.8,37.1
Bastar,450.5,364.3,2.6,1.9,27.4,39.4
Bastar,451.6,302.9,2.4,2.0,28.2,34.6
Bastar,458.3,407.9,3.7,2.9,29.4,34.8
Bastar,459.6,296.1,3.3,2.2,28.7,32.6
Bastar,473.4,430.4,3.3,2.6,29.3,29.2
Bastar,490.4,402.2,3.0,2.8,27.6,30.2
Bastar,497.5,309.2,3.0,2.4,27.0,39.4
Bastar,519.4,391.8,2.9,3.1,28.0,30.3
Bastar,523.5,389.3,3.0,3.3,27.0,29.4
Bastar,527.7,372.4,3.2,3.9,28.0,36.7
Bastar,538.0,408.0,2.9,2.7,29.0,39.0
Bastar,533.4,395.6,2.8,3.0,28.8,42.8
Bastar,555.4,834.3,2.6,2.6,28.7,32.4
Bastar,556.0,403.0,3.0,3.0,28.0,34.0
Bastar,555.0,382.0,3.0,2.0,28.0,34.0
Bastar,572.8,553.2,2.8,3.0,28.6,40.9
Bastar,571.7,544.7,2.6,2.7,28.4,54.7
Bastar,579.0,561.9,2.0,2.4,27.5,40.6
Bastar,582.3,624.3,2.2,3.0,27.5,40.8
Bastar,584.4,533.3,1.6,2.0,27.5,46.3
Bastar,605.3,603.7,1.8,2.6,27.2,43.9
Bastar,609.9,604.0,1.6,2.4,25.5,32.2
