Year,State Name,CottonProduction
1966,Gujarat,252.0
1966,Maharashtra,197.0
1966,Punjab,131.6
1966,Haryana,54.3
1966,Telangana,8.6
1967,Gujarat,271.0
1967,Maharashtra,232.4
1967,Punjab,140.9
1967,Haryana,67.8
1967,Telangana,12.1
1968,Gujarat,264.0
1968,Maharashtra,248.1
1968,Punjab,132.7
1968,Haryana,60.7
1968,Telangana,5.5
1969,Gujarat,295.3
1969,Maharashtra,215.1
1969,Punjab,143.9
1969,Haryana,61.5
1969,Telangana,7.8
1970,Gujarat,323.9
1970,Punjab,147.3
1970,Maharashtra,82.8
1970,Haryana,63.199999999999996
1970,Telangana,8.3
1971,Gujarat,451.4
1971,Maharashtra,217.7
1971,Punjab,174.1
1971,Haryana,79.2
1971,Telangana,10.9
1972,Gujarat,292.7
1972,Maharashtra,188.7
1972,Punjab,182.9
1972,Haryana,79.3
1972,Telangana,8.4
1973,Gujarat,312.6
1973,Maharashtra,188.1
1973,Punjab,187.4
1973,Haryana,81.0
1973,Telangana,10.4
1974,Maharashtra,280.8
1974,Gujarat,254.20000000000002
1974,Punjab,214.9
1974,Haryana,81.0
1974,Telangana,13.5
1975,Gujarat,316.6
1975,Punjab,224.6
1975,Maharashtra,139.0
1975,Haryana,83.89999999999999
1975,Telangana,4.6
1976,Gujarat,317.0
1976,Punjab,203.2
1976,Maharashtra,150.8
1976,Haryana,85.8
1976,Telangana,4.9
1977,Gujarat,366.5
1977,Maharashtra,221.4
1977,Punjab,220.4
1977,Haryana,84.7
1977,Telangana,11.3
1978,Gujarat,374.1
1978,Maharashtra,228.9
1978,Punjab,200.1
1978,Haryana,108.5
1978,Telangana,11.9
1979,Gujarat,303.6
1979,Maharashtra,273.6
1979,Punjab,207.5
1979,Haryana,100.4
1979,Telangana,15.5
1980,Gujarat,291.5
1980,Maharashtra,210.2
1980,Punjab,200.4
1980,Haryana,116.5
1980,Telangana,25.1
1981,Gujarat,356.5
1981,Maharashtra,238.2
1981,Punjab,216.0
1981,Haryana,115.5
1981,Telangana,24.4
1982,Gujarat,263.0
1982,Maharashtra,257.1
1982,Punjab,207.1
1982,Haryana,142.8
1982,Telangana,21.1
1983,Gujarat,245.70000000000002
1983,Maharashtra,139.0
1983,Punjab,120.4
1983,Haryana,98.0
1983,Telangana,33.6
1984,Gujarat,351.8
1984,Maharashtra,249.4
1984,Punjab,210.3
1984,Haryana,103.7
1984,Telangana,22.4
1985,Maharashtra,338.5
1985,Gujarat,337.8
1985,Punjab,238.3
1985,Haryana,126.80000000000001
1985,Telangana,31.1
1986,Punjab,287.4
1986,Gujarat,186.5
1986,Maharashtra,153.3
1986,Haryana,153.3
1986,Telangana,25.6
1987,Punjab,315.4
1987,Maharashtra,255.6
1987,Haryana,117.5
1987,Gujarat,55.1
1987,Telangana,34.9
1988,Punjab,360.1
1988,Gujarat,249.6
1988,Maharashtra,233.6
1988,Haryana,143.6
1988,Telangana,23.6
1989,Punjab,417.6
1989,Maharashtra,375.7
1989,Gujarat,298.5
1989,Haryana,205.8
1989,Telangana,56.900000000000006
1990,Punjab,351.25
1990,Maharashtra,318.79
1990,Gujarat,260.24
1990,Haryana,196.35000000000002
1990,Telangana,67.22
1991,Punjab,409.75
1991,Haryana,227.97
1991,Gujarat,204.47
1991,Maharashtra,196.54
1991,Telangana,71.1
1992,Punjab,399.14
1992,Gujarat,350.99
1992,Maharashtra,307.31
1992,Haryana,239.87
1992,Telangana,73.19
1993,Maharashtra,446.35
1993,Gujarat,297.35
1993,Punjab,258.21
1993,Haryana,191.08
1993,Telangana,84.15
1994,Maharashtra,401.33
1994,Punjab,303.26
1994,Haryana,233.07
1994,Telangana,108.46000000000001
1994,Gujarat,0.0
1995,Maharashtra,475.84999999999997
1995,Gujarat,409.27
1995,Punjab,289.40000000000003
1995,Haryana,222.67
1995,Telangana,123.25
1996,Maharashtra,534.38
1996,Gujarat,451.83
1996,Punjab,317.44
1996,Haryana,256.19
1996,Telangana,147.22
1997,Gujarat,580.89
1997,Maharashtra,288.49
1997,Haryana,188.19
1997,Punjab,159.13
1997,Telangana,95.71000000000001
1998,Gujarat,680.64
1998,Maharashtra,443.86
1998,Telangana,183.77
1998,Haryana,148.59
1998,Punjab,101.11
1999,Maharashtra,511.42
1999,Gujarat,364.74
1999,Haryana,221.69
1999,Telangana,175.51
1999,Punjab,161.5
2000,Maharashtra,306.46
2000,Haryana,235.10999999999999
2000,Gujarat,211.25
2000,Punjab,203.32000000000002
2000,Telangana,172.51
2001,Maharashtra,457.25
2001,Gujarat,286.4
2001,Punjab,222.19
2001,Telangana,195.3
2001,Haryana,122.75
2002,Maharashtra,441.35
2002,Gujarat,320.29
2002,Punjab,184.45
2002,Haryana,176.45999999999998
2002,Telangana,118.32
2003,Gujarat,684.5799999999999
2003,Maharashtra,523.63
2003,Punjab,251.26
2003,Haryana,239.19
2003,Telangana,182.89
2004,Gujarat,925.39
2004,Maharashtra,501.75
2004,Punjab,354.96000000000004
2004,Haryana,352.75
2004,Telangana,199.18
2005,Gujarat,1168.21
2005,Maharashtra,537.23
2005,Punjab,407.3
2005,Haryana,255.34
2005,Telangana,240.32999999999998
2006,Gujarat,1339.03
2006,Maharashtra,784.9599999999999
2006,Punjab,455.08
2006,Haryana,306.85
2006,Telangana,253.8
2007,Gujarat,1406.88
2007,Maharashtra,1192.55
2007,Telangana,421.67
2007,Punjab,400.21
2007,Haryana,319.94
2008,Gujarat,1192.32
2008,Maharashtra,807.9100000000001
2008,Telangana,431.95
2008,Punjab,388.25
2008,Haryana,317.42
2009,Gujarat,1258.16
2009,Maharashtra,868.95
2009,Telangana,397.32
2009,Punjab,341.02000000000004
2009,Haryana,326.06
2010,Gujarat,1670.31
2010,Maharashtra,1270.38
2010,Telangana,515.92
2010,Punjab,309.64000000000004
2010,Haryana,295.66999999999996
2011,Gujarat,1763.7
2011,Maharashtra,1159.47
2011,Haryana,445.56
2011,Telangana,389.91
2011,Punjab,275.36
2012,Maharashtra,1154.8
2012,Gujarat,841.67
2012,Telangana,689.71
2012,Haryana,404.26
2012,Punjab,292.86
2013,Gujarat,1892.07
2013,Maharashtra,1590.15
2013,Telangana,767.75
2013,Haryana,344.59
2013,Punjab,269.1
2014,Gujarat,1662.04
2014,Telangana,645.0
2014,Maharashtra,643.9
2014,Haryana,329.63
2014,Punjab,241.56
2015,Gujarat,1357.6499999999999
2015,Maharashtra,704.51
2015,Telangana,671.94
2015,Haryana,179.11
2015,Punjab,70.74
2016,Maharashtra,1935.8999999999999
2016,Gujarat,928.02
2016,Telangana,619.98
2016,Haryana,367.39
2016,Punjab,228.05999999999997
2017,Gujarat,1820.28
2017,Maharashtra,1096.83
2017,Telangana,935.1899999999999
2017,Haryana,292.68
2017,Punjab,230.94
